Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Housing Units with 0 Vehicles Available,Data Time Period,Geographic Vintage,Data Source
Zip Code Tabulation Area,75845,TX,75845,75845,13.56,2018-2022,2020,Census
Zip Code Tabulation Area,77004,TX,77004,77004,13.47,2018-2022,2020,Census
Zip Code Tabulation Area,78827,TX,78827,78827,13.46,2018-2022,2020,Census
Zip Code Tabulation Area,76301,TX,76301,76301,13.45,2018-2022,2020,Census
Zip Code Tabulation Area,77074,TX,77074,77074,13.45,2018-2022,2020,Census
Zip Code Tabulation Area,77446,TX,77446,77446,13.42,2018-2022,2020,Census
Zip Code Tabulation Area,79411,TX,79411,79411,13.39,2018-2022,2020,Census
Zip Code Tabulation Area,75240,TX,75240,75240,13.37,2018-2022,2020,Census
Zip Code Tabulation Area,76470,TX,76470,76470,13.37,2018-2022,2020,Census
Zip Code Tabulation Area,78948,TX,78948,78948,13.36,2018-2022,2020,Census
Zip Code Tabulation Area,77060,TX,77060,77060,13.33,2018-2022,2020,Census
Zip Code Tabulation Area,78061,TX,78061,78061,13.26,2018-2022,2020,Census
Zip Code Tabulation Area,79843,TX,79843,79843,13.18,2018-2022,2020,Census
Zip Code Tabulation Area,78405,TX,78405,78405,13.14,2018-2022,2020,Census
Zip Code Tabulation Area,77061,TX,77061,77061,13.13,2018-2022,2020,Census
Zip Code Tabulation Area,79904,TX,79904,79904,12.92,2018-2022,2020,Census
Zip Code Tabulation Area,75251,TX,75251,75251,12.91,2018-2022,2020,Census
Zip Code Tabulation Area,75231,TX,75231,75231,12.87,2018-2022,2020,Census
Zip Code Tabulation Area,77011,TX,77011,77011,12.87,2018-2022,2020,Census
Zip Code Tabulation Area,75954,TX,75954,75954,12.78,2018-2022,2020,Census
Zip Code Tabulation Area,78701,TX,78701,78701,12.76,2018-2022,2020,Census
Zip Code Tabulation Area,78223,TX,78223,78223,12.75,2018-2022,2020,Census
Zip Code Tabulation Area,75226,TX,75226,75226,12.73,2018-2022,2020,Census
Zip Code Tabulation Area,77078,TX,77078,77078,12.67,2018-2022,2020,Census
Zip Code Tabulation Area,79347,TX,79347,79347,12.61,2018-2022,2020,Census
Zip Code Tabulation Area,78368,TX,78368,78368,12.52,2018-2022,2020,Census
Zip Code Tabulation Area,79754,TX,79754,79754,12.5,2018-2022,2020,Census
Zip Code Tabulation Area,77054,TX,77054,77054,12.48,2018-2022,2020,Census
Zip Code Tabulation Area,75670,TX,75670,75670,12.42,2018-2022,2020,Census
Zip Code Tabulation Area,79838,TX,79838,79838,12.42,2018-2022,2020,Census
Zip Code Tabulation Area,77359,TX,77359,77359,12.41,2018-2022,2020,Census
Zip Code Tabulation Area,78408,TX,78408,78408,12.41,2018-2022,2020,Census
Zip Code Tabulation Area,77025,TX,77025,77025,12.39,2018-2022,2020,Census
Zip Code Tabulation Area,75431,TX,75431,75431,12.35,2018-2022,2020,Census
Zip Code Tabulation Area,78562,TX,78562,78562,12.34,2018-2022,2020,Census
Zip Code Tabulation Area,77358,TX,77358,77358,12.33,2018-2022,2020,Census
Zip Code Tabulation Area,78829,TX,78829,78829,12.32,2018-2022,2020,Census
Zip Code Tabulation Area,78407,TX,78407,78407,12.28,2018-2022,2020,Census
Zip Code Tabulation Area,75751,TX,75751,75751,12.25,2018-2022,2020,Census
Zip Code Tabulation Area,77991,TX,77991,77991,12.24,2018-2022,2020,Census
Zip Code Tabulation Area,78638,TX,78638,78638,12.21,2018-2022,2020,Census
Zip Code Tabulation Area,76360,TX,76360,76360,12.18,2018-2022,2020,Census
Zip Code Tabulation Area,77362,TX,77362,77362,12.17,2018-2022,2020,Census
Zip Code Tabulation Area,78752,TX,78752,78752,12.15,2018-2022,2020,Census
Zip Code Tabulation Area,76501,TX,76501,76501,12.14,2018-2022,2020,Census
Zip Code Tabulation Area,78237,TX,78237,78237,12.13,2018-2022,2020,Census
Zip Code Tabulation Area,75241,TX,75241,75241,12.1,2018-2022,2020,Census
Zip Code Tabulation Area,76116,TX,76116,76116,12.09,2018-2022,2020,Census
Zip Code Tabulation Area,77028,TX,77028,77028,12.07,2018-2022,2020,Census
Zip Code Tabulation Area,78220,TX,78220,78220,12.06,2018-2022,2020,Census
Zip Code Tabulation Area,77003,TX,77003,77003,12.05,2018-2022,2020,Census
Zip Code Tabulation Area,78592,TX,78592,78592,12.05,2018-2022,2020,Census
Zip Code Tabulation Area,79842,TX,79842,79842,12.04,2018-2022,2020,Census
Zip Code Tabulation Area,77071,TX,77071,77071,12.03,2018-2022,2020,Census
Zip Code Tabulation Area,78384,TX,78384,78384,12.02,2018-2022,2020,Census
Zip Code Tabulation Area,75220,TX,75220,75220,11.99,2018-2022,2020,Census
Zip Code Tabulation Area,78214,TX,78214,78214,11.98,2018-2022,2020,Census
Zip Code Tabulation Area,79350,TX,79350,79350,11.96,2018-2022,2020,Census
Zip Code Tabulation Area,78238,TX,78238,78238,11.95,2018-2022,2020,Census
Zip Code Tabulation Area,78359,TX,78359,78359,11.93,2018-2022,2020,Census
Zip Code Tabulation Area,78520,TX,78520,78520,11.87,2018-2022,2020,Census
Zip Code Tabulation Area,76645,TX,76645,76645,11.75,2018-2022,2020,Census
Zip Code Tabulation Area,75560,TX,75560,75560,11.7,2018-2022,2020,Census
Zip Code Tabulation Area,75977,TX,75977,75977,11.68,2018-2022,2020,Census
Zip Code Tabulation Area,79839,TX,79839,79839,11.66,2018-2022,2020,Census
Zip Code Tabulation Area,79851,TX,79851,79851,11.66,2018-2022,2020,Census
Zip Code Tabulation Area,76707,TX,76707,76707,11.65,2018-2022,2020,Census
Zip Code Tabulation Area,78210,TX,78210,78210,11.63,2018-2022,2020,Census
Zip Code Tabulation Area,76579,TX,76579,76579,11.5,2018-2022,2020,Census
Zip Code Tabulation Area,78751,TX,78751,78751,11.39,2018-2022,2020,Census
Zip Code Tabulation Area,77048,TX,77048,77048,11.33,2018-2022,2020,Census
Zip Code Tabulation Area,77640,TX,77640,77640,11.33,2018-2022,2020,Census
Zip Code Tabulation Area,78371,TX,78371,78371,11.29,2018-2022,2020,Census
Zip Code Tabulation Area,78608,TX,78608,78608,11.29,2018-2022,2020,Census
Zip Code Tabulation Area,79412,TX,79412,79412,11.26,2018-2022,2020,Census
Zip Code Tabulation Area,77076,TX,77076,77076,11.22,2018-2022,2020,Census
Zip Code Tabulation Area,77014,TX,77014,77014,11.18,2018-2022,2020,Census
Zip Code Tabulation Area,78721,TX,78721,78721,11.14,2018-2022,2020,Census
Zip Code Tabulation Area,76639,TX,76639,76639,11.13,2018-2022,2020,Census
Zip Code Tabulation Area,77057,TX,77057,77057,11.12,2018-2022,2020,Census
Zip Code Tabulation Area,75243,TX,75243,75243,11.11,2018-2022,2020,Census
Zip Code Tabulation Area,76930,TX,76930,76930,11.11,2018-2022,2020,Census
Zip Code Tabulation Area,78225,TX,78225,78225,11.09,2018-2022,2020,Census
Zip Code Tabulation Area,75975,TX,75975,75975,11.01,2018-2022,2020,Census
Zip Code Tabulation Area,76119,TX,76119,76119,10.95,2018-2022,2020,Census
Zip Code Tabulation Area,75661,TX,75661,75661,10.94,2018-2022,2020,Census
Zip Code Tabulation Area,77901,TX,77901,77901,10.85,2018-2022,2020,Census
Zip Code Tabulation Area,79855,TX,79855,79855,10.84,2018-2022,2020,Census
Zip Code Tabulation Area,79018,TX,79018,79018,10.83,2018-2022,2020,Census
Zip Code Tabulation Area,77642,TX,77642,77642,10.77,2018-2022,2020,Census
Zip Code Tabulation Area,77520,TX,77520,77520,10.75,2018-2022,2020,Census
Zip Code Tabulation Area,78632,TX,78632,78632,10.73,2018-2022,2020,Census
Zip Code Tabulation Area,78674,TX,78674,78674,10.71,2018-2022,2020,Census
Zip Code Tabulation Area,77012,TX,77012,77012,10.67,2018-2022,2020,Census
Zip Code Tabulation Area,77488,TX,77488,77488,10.67,2018-2022,2020,Census
